Player,Birthdate
Dzehalevich E.,15.04.1984
Fichman S.,13.05.1989
Glatch A.,09.12.1985
Henin J.,01.06.1982
Lalami N.,11.12.1995
Loit E.,16.09.1977
Manasieva V.,11.01.1984
Sprem K.,18.03.1981
Srebotnik K.,10.10.1981
Ungur L.,24.12.1985
Badosa Gibert P.,15.11.1997
Hon P.,11.01.1994
Badosa Gibert. P.,15.11.1997
Fruhvirtova L.,20.11.2007
Gracheva V.,31.05.1997
Liu C.,14.05.2004
Lys E.,10.01.2003
Mandlik E.,12.11.2002
Mboko V.,22.06.2003
Ruzic A.,24.03.1999
Tararudee L.,12.12.2004
Zavatska K.,06.02.1996
Bai A.,14.10.1999
Bai Z.,14.10.1999
Papamichail D.,08.08.1997
Stollar F.,01.05.1996
Szabanin N.,17.12.2006
Timofeeva M.,09.09.1999
Toth A.,18.04.1995
Bains N.,27.01.1997
Baker L.,17.12.1991
Dokic J.,14.04.1983
Jones S.,11.10.1984
Kim S.J.,10.08.1994
Koryttseva M.,25.05.1985
Lertpitaksinchai N.,02.06.1991
Sequera M.,21.02.1983
Stoop G.,04.05.1987
Tetreault V.,01.01.1999
Yan Z.,30.03.1999
Bardina V.,27.07.1986
Bondarenko A.,11.03.1985
Dechy N.,15.06.1979
Granville L.,05.01.1994
Nakamura A.,16.05.1987
Osterloh L.,22.08.1989
South M.,03.05.1985
Vierin N.,25.11.1984
Bandecchi S.,05.03.2001
Fernandez L.,06.09.2002
Hibino N.,28.11.1994
Jamrichova R.,13.12.2006
Rosatello C.,17.11.2000
Bassols M.,15.10.2001
Fourlis J.,25.02.1999
Pigossi L.,30.05.1998
Rakhimova K.,31.03.2002
Barbieri G.,17.06.2000
Ancic S.,07.02.1996
O'brien K.,28.01.1995
Schnyder P.,14.12.1977
Groth J.,03.12.1987
Mirza S.,15.09.1986
Pous-Tio L.,05.06.1984
Salerni M.E.,09.04.1982
Barry E.,22.10.1994
Barry M.,22.10.1994
Barte H.,02.04.1997
Cepede Royg V.,07.02.1990
Dolonc V.,07.04.1986
Kania P.,26.09.1993
Konjuh A.,27.12.1997
Lottner A.,17.07.1995
Scholl C.,30.01.1995
Soler-Espinosa S.,22.09.1991
Camerin M.E.,19.02.1978
Cavaday N.,09.05.1986
Czink M.,19.06.1982
Davenport L.,08.06.1975
Gajdosova J.,05.05.1987
Kriz N.,30.06.1994
Kutuzova V.,15.02.1986
Perry S.,13.01.1987
Rodionova An.,22.07.1984
Ruano Pascual V.,29.12.1979
Vakulenko J.,31.05.1987
Wejnert M.,18.12.1983
Bartunkova N.,02.05.2003
Han X.,29.06.1994
Perez E.,15.03.1992
Zhang K.L.,27.02.1999
Bassols Ribera M.,15.10.2001
Baszak W.,17.01.1999
Bechri C.,20.09.2003
Alves C.M.,18.01.1992
Alves M.F.,18.01.1992
Mitu A.,12.03.1990
Pereira T.,06.09.1995
Piter K.,04.03.1988
Rueffer L.,18.10.1999
Stefkova B.,04.02.1996
Beck An.,17.07.1996
Cabeza-Candela E.,14.12.1993
Goncalves P.C.,23.03.1997
Kung L.,15.10.1994
Ma Y.,26.08.1996
Rogowska O.,31.07.1990
Siskova A.,03.06.1996
Torro Flor M.T.,09.02.1989
Woerle K.,07.11.1996
Zhang Yux.,27.02.1999
Bejlek S.,30.10.2006
Di Lorenzo F.,03.11.2002
Hesse A.,13.03.2003
Chiesa D.,13.10.2001
Duval V.,21.05.1993
Hives Z.,24.09.2002
Inglis M.,05.06.2001
Ito A.,17.09.1998
Jacquemot E.,11.09.2002
Malygina E.,28.12.2002
Miyazaki Y.,27.06.2001
Schmiedlova A.K.,12.10.1994
Schunk N.,09.07.2003
Sebov K.,20.10.1994
Smitkova T.,15.04.1995
Xu Y-F.,14.05.1996
Jugic-Salkic M.,07.05.1982
Pin C.,07.11.1996
Roma N.,24.09.1997
Silva N.,14.11.1998
Bennani L.,12.04.2001
Benoit M.,10.11.1993
Burger C.,29.05.1996
Feuerstein C.,18.09.2002
Gorgodze E.,01.04.1992
Muguruza Blanco G.,09.10.1993
Beygelzimer Y.,08.04.1985
Bhatia R.,01.01.2004
Ferrer Suarez I,26.08.1998
Gronert S.,08.10.1984
Torres M.,23.09.1994
Pattinama Kerkhove L.,07.07.1993
Stefanini L.,02.09.1997
Wei S.,22.07.1996
Bjorklund M.,28.12.2002
Lizarazo Y.,04.12.1999
Black C.,14.02.1976
Black T.A.,14.02.1976
Grammatikopoulou V.,22.04.1999
Waltert S.,06.07.1997
Bobusic B.,21.07.1991
Ce G.,01.07.1997
Duan Y.Y.,22.07.1998
Duque-Marino M.,18.01.1986
Fruhvirtova B.,04.10.2008
Naydenova A.,19.02.2003
Sanders S.,01.10.1998
Bogdan E.,30.10.1990
Moser L.M.,05.07.1997
Bohmova K.,21.06.2001
Bolkvadze M.,05.10.1999
Bolsova Zadoinov A.,04.10.1997
Bona A.,05.05.1997
Mrdeza T.,12.05.1996
Zhao C.,20.09.1997
Kraus S.,01.11.2001
Maleckova J.,03.12.1996
Olyanovskaya V.,18.06.2001
Udvardy P.,16.05.1999
Jackson J.,28.05.1997
Muller M.,29.02.1992
O'Brien K.,28.01.1995
Zhou Y.M.,27.06.1999
Coin J.,11.09.1978
Glushko L.,09.07.1990
Hingis M.,30.09.1980
Jurikova L.,03.05.1998
Borsanyi C.,28.12.1982
Boserup J.,07.09.1989
Sadikovic A.,08.03.1993
Burnett N.,11.01.2000
Day K.,25.04.1987
Zueger J.,16.10.1977
Lao D.,01.01.1987
Monnet C.,26.07.1990
Bouzas Maneiro J.,01.01.2003
Nahimana S.,04.08.2002
Da Silva Fick G.,25.04.2001
Gao X.,10.02.1997
Gibson T.,12.10.1994
Valentova T.,31.07.2001
Von Deichmann K.,29.07.1999
Xun F.Y.,27.02.1999
Brace C.,21.12.1999
Brandi K.,01.05.1997
Branstine C.,07.03.2002
Ivanova E.,18.02.1999
Pivovarova A.,06.03.1988
Brazhnikova A.,28.05.1991
Bremond I.,28.12.1985
Pandzic J.,10.12.1995
Pelletier M.E.,28.10.1984
Oz I.,23.05.1996
Ferguson S.,25.08.1998
Kremer A.,18.02.1989
Lertcheewakarn N.,29.05.1989
Wienerova L.,04.12.1999
Brodsky G.,15.11.1986
Guo H.,26.01.1997
Rakotomanga Rajaonah T.,19.11.1999
Sawangkaew M.,09.12.2002
Sugnaux T.,09.08.2002
Buchina Y.,23.01.2003
Curmi F.,02.01.2004
Marcinko P.,03.01.1997
Yao X.,16.04.1999
You X.,16.04.1999
Bulgaru M.,20.02.2003
Burdette M.,11.03.1987
Kostova E.,23.06.1997
Burillo Escorihuela I.,26.07.1995
Burillo I.,26.07.1995
Raina A.,12.03.2004
Buryachok I.,27.07.1989
Dabrowski G.,01.04.1993
Klepac A.,08.03.1993
Luangnam N.,30.09.1989
Rao S.,23.01.1999
Cabeza Candela E.,14.12.1993
Grymalska A.,03.04.1995
Sharipova S.,01.09.1997
Cako J.,19.12.1997
Hozumi E.,18.04.1987
Camerin M.,19.02.1978
Miranda Otarola M.,16.04.2003
Chen Y.,01.03.1997
Lu J.J.,05.09.1988
Santangelo M.,25.04.1981
Torres Sandoval M.,23.09.1994
Wheeler C.,20.08.1996
Candiotto A.,12.11.1998
Strakhova V.,17.04.1999
Capra B.,15.04.1998
Caregaro M.,09.04.1991
Castano C.,10.12.1980
Golovin T.,22.01.1987
Garcia Perez G.,28.07.1997
Cecil M.,10.12.1998
Celik S.,21.02.1996
Cengiz B.,26.02.1998
Ortenzi J.,15.10.2001
Pous-T. L.,05.06.1984
Kichenok L.,05.04.1988
Lee S.R.,19.04.1996
Sanchez M.,01.06.1987
Botto B.,21.08.1996
Sema E.,18.05.1996
Zec Peskiric M.,06.05.1991
Chakhnashvili M.,11.03.1994
Sharapova, M.,19.04.1987
Chan C.W.,22.01.1982
Chan W.Y.,22.01.1982
Chang H.,25.10.1985
Komardina A.,08.05.2001
Pavlovic I.,10.01.1992
Wongteanchai V.,06.01.1992
Chang S.,13.01.2004
Cherubini D.,29.08.1994
Pigato L.,26.04.2003
Riske-Amritraj A.,18.03.1990
Choi J-H.,18.09.1995
Chong E.,13.03.1994
Chuang C.J.,20.05.1974
Chvojkova V.,17.11.1997
Ozgen P.,11.11.1991
Chwalinska M.,17.04.2003
Shymanovich I.,19.12.2003
Kostanic J.,06.10.1978
Savinykh V.,17.05.1992
Song S.S.,31.08.1999
Teichmann J.B.,15.07.1996
Vrljic A.,28.09.1989
Ciric Bagaric L.,11.10.2002
Contreras Gomez F.,30.12.2002
Harrison C.,02.03.1990
Hu Y.Y.,12.11.1997
Kerkhove L.,07.07.1993
Murray S.,22.09.1996
Olaru I.R.,04.04.1986
Paar L.I.,01.02.1996
Stakusic M.,07.09.2006
Uberoi N.,23.12.1996
Zacarias M.,16.05.1999
Peers S.,14.10.2001
Naef C.,21.09.1999
Cohen A.,19.05.1978
Fedossova Y.,28.11.1987
Peschke K.,10.12.1975
Cohen J.,19.05.1978
Cohen-Aloro S.,19.05.1978
Di Giuseppe M.,01.08.1997
Erjavec V.,07.09.1989
Snigur D.,13.12.2003
Zhuk S.,03.11.1998
Collins D.R.,13.12.1993
Compostizode E.,18.06.2002
Ejdesgaard M.,11.11.1998
Lu Jia-Jing,05.09.1988
Luzhanska T.,25.05.1986
Mestach A.S.,16.04.1993
Nagy K.,12.06.1997
Costas L.,23.11.2000
Cravero J.,19.09.1994
Grandin N.,12.01.1983
Gullickson C.,01.06.1989
Sema Y.,18.05.1996
Tamaela E.,21.10.1994
Cross K.,09.04.1992
Fernandez-Brugues E.,08.04.1992
Perianu A.,13.01.2002
Kim S-J.,10.08.1994
Sfar S.,02.03.1982
Danilina A.,21.03.1995
Date K.,26.09.1976
Lee Y.R.,27.08.1995
Namigata J.,24.06.1982
Date Krumm K. ,26.09.1976
Bartoli M. ,02.10.1984
Medina Garrigues A. ,31.07.1977
Date-Krumm K.,26.09.1976
Xu Y.F.,14.05.1996
De Gubernatis C.,13.03.2003
De Lattre M.,11.01.1998
De Los Rios R.,13.03.1999
De Vroome I.,12.07.1994
Chan Y.,22.01.1982
Sanchez O.,01.06.1987
Yuan M.,26.11.1998
Moore T.,26.10.1994
Yonemura A.,28.03.1998
Kulikova R.,04.06.1989
Fuda R.,15.08.1998
Di Sarra F.,20.05.1996
Disderi S.,30.11.1999
Loeb J.,09.09.1994
Janicijevic S.,21.12.2003
Olmos G.,03.11.1996
Gasanova A.,11.04.1998
Zhao Y.J.,20.09.1997
Gatto-Monticone G.,03.11.1989
Jones F.,19.06.1995
Pridankina E.,23.10.2000
Robillard-Millette C.,18.11.2002
Gaydarzhi K.,30.10.1998
Dolonts V.,22.08.1986
Ruutel M.,24.10.1999
Gonzalez M.,19.10.1997
Lim A.,08.09.1997
Serra Zanetti A.,04.11.1999
Eguchi M.,07.02.1994
Melnikova M.,24.02.1999
Spears A.,02.07.1992
Han S.H.,25.05.1988
Szatmari A.,11.05.1998
Hendler T.,05.10.2001
Martinovic S.,03.04.1997
Widjaja J.,05.11.1986
Dunne K.,15.11.2000
Abdala N.,08.12.1994
Jozami B.,22.02.1993
Roma S.,24.09.1997
Laine E.,29.08.1995
Nooni H.,13.04.1999
Dushevina V. ,22.08.1986
Palkina K.,20.02.1996
Tjen J.,03.06.2002
Eikeri U.,23.07.1994
Ekshibarova V.,23.05.1994
El Allami M.,27.05.1999
El Allami Zhara F.,27.05.1999
El Aouni A.,23.04.1998
El Tabakh H.,31.12.1988
Elie J.,06.02.1993
Elliott A.,28.06.1998
Embree L.,25.03.1991
Gordon A.,16.07.1995
Eraydin B.,11.07.1994
Haas B.,06.02.1995
Haynes A.,12.12.1997
Hunter S.,31.05.1994
Zhang K-L.,27.02.1999
Evtimova D.,19.01.1986
Klaffner M.,20.06.2001
Ewald W.,04.05.1998
Gerlach K.,25.12.1999
Pella C.,28.03.1999
Falkner Z.,30.10.2002
Falkowska W.,08.12.2004
Jidkova A.,08.10.1981
Fernandez C.,31.05.1986
Fita Boluda A.,13.10.1996
Klugman H.,15.10.2004
Ferrando C.,16.04.1999
Liang E.S.,08.07.2003
Kawa K.,20.04.1992
Wang M.,14.01.1994
Fink A.,06.07.1996
Flink V.,04.07.1997
Ivakhnenko V.,09.02.1990
Ishizu S.,14.12.1987
Floris A.,15.05.1999
Folts A.,06.12.1998
Fondevila Castro P.,20.12.2001
Fossa Huergo N.,03.11.2000
Romero Gormaz L.,08.06.2003
Mansouri Y.,20.08.2003
Preston T.,19.06.2000
Ghioroaie I.G,11.07.2003
Tikhonova A.,01.12.2002
Fullana L.,16.10.2003
Gabarrus-Alonso M.,10.07.2002
Gabueva A.,28.01.1996
Sierra S.,05.02.1998
Munoz Gallegos D.,08.07.2001
Gamiz A.,23.06.1996
Wang X.,14.01.1994
Mamic S.,03.09.1989
Irigoyen M.,21.05.1984
Lumsden M.,12.09.2000
Ponchet J.,26.06.1999
Hatouka Y.,25.11.2001
Havlickova L.,14.09.2003
Avdeeva J.,26.04.2001
In-Albon Y.,20.03.1998
Geerlings Martinez A.,11.04.2002
Gehrlein S.,12.08.2000
Georges M.,05.02.1996
Gerasimou A.,12.02.2000
Gervais J.,12.03.1999
Giovine C.,13.12.1997
Hermoso X.,13.05.1999
Monova P.,20.06.1989
Golds S.,21.04.1999
Smashnovai A.,14.10.1976
Capurro Taborda M.,17.11.2000
Moore J.,12.03.1997
Grant T.C.,02.01.1996
Grey S.,06.07.1995
Kiraly P.,27.10.1997
Laisne K.,27.10.2002
Sun S.,26.07.1999
Gubacsi Z.,08.05.1997
Gumulya S.,14.05.1991
Muramatsu C.,17.10.2003
Herazo Gonzalez M.,16.08.1999
