Player,Birthdate
Haider-Maurer A.,18.01.1985
Millot V.,29.08.1985
Dolgopolov O.,07.11.1988
Karlovic I.,28.02.1979
Serra F.,13.10.1975
Seppi A.,23.02.1984
Bohli S.,29.07.1989
Federer R.,08.08.1981
Rochus O.,07.06.1981
Stepanek R.,22.07.1978
Schuettler R.,22.07.1978
Montanes A.,22.05.1980
Bautista R.,25.03.1987
Berdych T.,17.09.1985
Mathieu P.H.,12.01.1983
Garcia-Lopez G.,03.12.1983
Greul S.,21.09.1984
Davydenko N.,02.03.1981
Falla A.,26.09.1985
Hernych J.,25.07.1982
Luczak P.,28.02.1986
Kohlschreiber P.,24.10.1983
Chiudinelli M.,10.06.1982
Korolev E.,04.02.1981
Bolelli S.,08.05.1985
Troicki V.,10.02.1986
Becker B.,22.01.1990
Djokovic N.,22.05.1987
Beck A.,20.08.1986
Benneteau J.,20.12.1981
Nieminen J.,22.05.1978
Koellerer D.,30.04.1983
Lammer M.,18.07.1985
Simon G.,28.01.1985
Kunitsyn I.,22.08.1981
Monfils G.,01.09.1986
Granollers M.,11.04.1986
Monaco J.,18.02.1984
Vassallo-Arguello M.,24.03.1982
Ferrer D.,02.02.1982
Almagro N.,21.05.1985
Andreev I.,27.07.1981
Mayer L.,10.10.1983
Ferrero J.C.,12.02.1980
Cuevas P.,01.01.1986
Murray A.,15.05.1987
Gimeno-Traver D.,22.04.1985
Robredo T.,01.05.1982
Rochus C.,07.06.1981
Cilic M.,28.09.1988
Petzschner P.,24.03.1984
Zeballos H.,23.04.1985
Gasquet R.,18.06.1986
Chardy J.,12.01.1987
Blake J.,28.12.1979
Wawrinka S.,28.03.1985
Ljubicic I.,19.03.1979
Gonzalez F.,18.07.1980
Isner J.,26.04.1985
Hanescu V.,21.01.1985
Tipsarevic J.,22.06.1984
Lopez F.,20.09.1987
Martin A.,18.04.1982
Youzhny M.,25.06.1982
Verdasco F.,15.11.1983
Millman J.,14.06.1989
Ebden M.,26.07.1987
Yang T.H.,02.10.1991
Robert S.,19.02.1987
Sorensen L.,27.12.1990
Maamoun K.,18.09.1990
Lemke J.,11.02.1991
Matosevic M.,08.02.1985
Cervantes I.,14.08.1984
Kubler J.,19.05.1993
Sergeyev I.,16.04.1985
Brown D.,01.02.1992
Wolmarans F.,13.12.1988
Van Der Merwe I.,13.11.1992
Souza J.,08.11.1992
Saavedra Corvalan C.,06.04.1995
Jelenic P.,28.08.1996
Bemelmans R.,12.11.1987
Im K.T.,10.03.1999
Deheart R.,03.01.1990
Mertens Y.,10.02.1992
Niland C.,28.01.1985
Ramos-Vinolas A.,17.01.1988
Lajovic D.,30.11.1990
Tavares L.,15.07.1991
Krawietz K.,24.10.1991
Gojowczyk P.,27.05.1984
Di Mauro A.,07.03.1980
Mina G.,10.02.1989
Paire B.,08.05.1990
Emmrich M.,08.05.1984
Alcaide G.,02.03.1986
Kudla D.,01.08.1992
Bubka S.,11.07.1990
Dasnieres de Veigy J.,03.01.1993
Lindell C.,04.08.1988
Knittel B.,15.03.1992
Sadecky A.,07.06.1994
Marti Y.,07.09.1990
Velotti A.,15.01.1993
Johnson S.,13.06.1990
Melzer G.,22.05.1982
Duclos P.L.,10.11.1981
Lojda D.,14.04.1987
Klahn B.,28.01.1990
Sock J.,27.09.1992
Ungur A.,19.07.1985
Zhang Z.,14.07.1996
Wu D.,31.01.1996
Belyaev I.,14.06.1993
Schoorel T.,15.10.1987
Muster T.,17.09.1989
Bautista R.,25.03.1987
Marti J.,11.09.1984
Goffin D.,07.09.1990
Sabry S.,19.04.1988
Venus M.,26.09.1996
Scholtz N.,26.09.1991
Rios F.,19.05.1995
Bagnis F.,27.04.1990
Romboli F.,12.02.1992
Kuznetsov Al.,08.04.1992
Farah R.,22.01.1989
Borvanov R.,02.10.1994
Clezar G.,08.03.1994
Galdon P.,15.11.1991
Kumantsov A.,25.09.1992
Garza D.,11.04.1993
Sanchez M.,22.06.1990
Awadhy O.,01.01.1992
Granollers Pujol G.,11.04.1986
Kuznetsov An.,22.12.1990
Gutierrez-Ferrol S.,09.01.1989
Ramos A.,26.05.1986
Carreno-Busta P.,12.07.1991
Granollers-Pujol G.,11.04.1986
Teixeira M.,15.11.1985
Stebe C.M.,18.02.1990
Cox D.,18.03.1992
Golding O.,27.03.1992
Walter L.,29.01.1991
De Schepper K.,20.03.1987
Wang J.,14.07.1992
Olaso G.,05.04.1992
Kern R.,11.09.1990
Kosakowski D.,24.05.1994
Pavic M.,04.11.1993
Delic M.,05.09.1984
Grigelis L.,01.04.1991
Thiem D.,03.09.1993
Sitak A.,23.05.1986
Chvojka E.,22.08.1993
Pospisil V.,16.12.1990
Jaziri M.,26.10.1984
Dutra Da Silva R.,04.01.1992
Giannessi A.,29.07.1990
Torebko P.,10.02.1992
Rodrigues M.,05.11.1993
Renavand N.,01.03.1989
Li Z.,25.06.1997
Zopp J.,26.07.1988
Nedelko I.,05.03.1992
Bedene A.,18.07.1989
Duckworth J.,12.07.1991
Mitchell B.,12.04.1992
Arguello F.,08.08.1993
Granollers G.,11.04.1986
Carballes Baena R.,12.01.1993
Struff J.L.,25.04.1990
Desein N.,04.09.1992
Cecchinato M.,30.09.1992
Kyrgios N.,27.04.1995
Vesely J.,10.02.1994
Corrie E.,21.03.1993
Basic M.,07.10.1994
Edmund K.,05.11.1995
Reid M.,20.06.1991
Ymer E.,21.04.1998
Eriksson M.,11.08.1992
Kozlov S.,13.03.1994
Pavic A.,04.11.1993
Bossel A.,19.02.1991
Langer N.,13.07.1993
Ward A.,20.02.1990
Gonzalez A.,02.07.1990
Zverev A.,20.04.1997
Salamanca C.,26.05.1992
Estrella Burgos V.,25.08.1983
Barrientos N.,15.09.1994
Londero J.I.,23.03.1993
Gomez E.,13.09.2000
Struvay E.,21.08.1983
King K.,23.02.1999
Westerhof B.,29.07.1981
Topic J.,27.02.1996
Coric B.,14.11.1996
Harrison C.,08.01.1992
Setkic A.,16.09.1992
Novak D.,22.04.1996
Peliwo F.,29.11.1993
Bogaerts R.,21.01.1994
Karatsev A.,15.02.1994
Herbert P.H.,18.03.1991
Inglot D.,19.06.1985
Djere L.,02.10.1995
Chung H.,19.05.1996
Trongcharoenchaikul W.,29.01.1994
Jeong S.Y.,02.08.1994
Khachanov K.,21.05.1996
Nedovyesov O.,25.03.1987
Sekulic M.,22.06.1994
Mecir M.,10.09.1993
Nedunchezhiyan J.,02.09.1990
Kokkinakis T.,10.04.1996
Ramanathan R.,21.11.1996
Albot R.,11.12.1990
Nedovyesov A.,25.03.1987
Hossam K.,21.08.1995
Struff J-L.,25.04.1990
Dzumhur D.,20.05.1992
Thompson J.,20.02.1993
Rola B.,17.06.1990
Artunedo Martinavarro A.,06.09.1998
Daniel T.,27.01.1996
Krstin P.,04.07.1985
Lama G.,05.06.1997
Hank T.,23.02.1990
Khaddari H.,08.08.1995
Ciorcila P.,25.08.1998
Basilashvili N.,23.02.1992
Travaglia S.,20.01.1991
Milojevic N.,20.08.1983
Vaisse M.,17.05.1985
Michon A.,23.05.1981
Arnaboldi A.,27.07.1986
Lokoli L.,22.01.1983
Coppejans K.,28.05.1994
Puetz T.,14.11.1986
Smethurst D.,06.06.1986
Thompson C.,01.06.1987
Krueger M.,12.06.1995
Olivo R.,02.09.1992
Diez S.,09.08.1992
De Paula F.,21.12.1998
Pasha N.,25.12.1991
Galovic V.,05.12.1991
Donaldson J.,06.02.1995
Tiafoe F.,20.01.1998
Schnur B.,07.03.1995
Rubin N.,05.02.1995
Giron M.,31.08.1993
Mcgee J.,26.07.1992
Kohlschreiber P..,24.10.1983
Gao X.,10.02.1997
Jasika O.,14.01.1990
Takeuchi K.,15.04.1990
Burquier G.,11.03.1991
Ouyang B.,04.01.1990
Gerasimov E.,14.06.1991
Herbert P-H.,18.03.1991
Wang C.,14.01.1994
Rublev A.,20.10.1997
Gombos N.,15.09.1992
Baluda V.,20.09.1991
Vanni L.,28.10.1989
Prashanth V.,15.11.1991
Jarry N.,27.08.1995
Escobar G.,17.10.1992
Androic T.,13.07.1990
Quigley E.,15.05.1994
Nishioka Y.,23.02.1995
Martin F.,12.05.1998
Bolt A.,04.01.1989
De Greef A.,04.11.1992
Munar J.,12.10.1997
Giustino L.,28.06.1985
Silva F.,23.01.1994
Lestienne C.,26.03.1992
Ilkel C.,13.06.1996
Trinker B.,13.10.1994
Vega Hernandez D.,12.03.1986
Simonsson F.,04.11.1988
Mertl J.,19.04.1985
Nikles J.,03.07.1992
Bellier A.,02.05.1990
Cacic N.,06.07.1993
Santillan A.,07.10.1994
Serdarusic N.,30.12.1994
Lopez-Perez E.,11.03.1989
Shapovalov D.,15.04.1999
Eubanks C.,05.05.1995
Van Rijthoven T.,04.10.1997
Myneni S.,10.04.1988
Ivashka I.,24.02.1994
Bublik A.,17.06.1997
Whittington A.,09.04.1991
Ruud C.,22.12.2000
Maden Y.,23.10.1991
De Loore J.,24.03.1993
Yuksel A.,09.09.1990
De Minaur A.,17.02.1999
Zayid M.S.,01.01.1992
O'Connell C.,04.11.1994
Mott B.,10.02.1996
Lazarov A.,06.12.1994
Tepavac M.,09.07.1993
Griekspoor T.,02.04.1996
Tsitsipas S.,12.08.1998
Luz O.,11.09.1997
Quinzi G.,30.08.1996
Sandgren T.,12.02.1991
Silva F.F.,23.01.1994
Bellotti R.,10.08.1995
Masur D.,05.08.1996
Hanfmann Y.,11.11.1991
Domingues J.,14.04.1998
Berrettini M.,08.10.1996
Napolitano S.,02.05.1991
Altmaier D.,12.09.1998
Marcora R.,11.08.1982
Del Potro J. M.,23.09.1988
Muller A.,22.04.1997
Bonzi B.,09.08.1996
Jung J.,18.05.1995
Norrie C.,23.08.1995
Harris L.,24.02.1995
Majchrzak K.,21.06.1996
Ofner S.,28.08.1995
Kwiatkowski T.S.,13.01.1995
Polmans M.,13.02.1995
Zekic M.,24.09.1990
Sakharov G.,06.06.1990
Molleker R.,03.12.1999
Hernandez-Fernandez J.,22.06.1995
Halebian A.,08.09.1992
Bangoura S.,18.08.1991
King E.,06.03.1994
Leshem E.,31.12.1987
Bega A.,14.06.1996
Chrysochos P.,18.07.1997
Koepfer D.,28.11.1995
Aragone J.,23.02.1995
Blancaneaux G.,14.04.1999
Kypson P.,24.09.1996
Safranek V.,13.03.1994
Tyurnev E.,26.09.1992
Wu Y.,09.03.1992
Kuhn N.,07.08.1990
Takahashi Y.,10.08.1990
Safiullin R.,19.10.1997
Ojeda Lara R.,31.10.1994
Nagal S.,16.08.2000
Kadhe A.,05.06.1993
Popyrin A.,05.03.1999
Caruana L.,28.04.1989
Vukic A.,03.05.1996
Moutet C.,19.04.2000
Kwon S.W.,17.04.1994
Taberner C.,21.05.1993
Donski A.,28.06.1993
Andreev A.,10.08.1999
Quiroz R.,07.03.1992
Korda S.,27.03.2000
Auger-Aliassime F.,08.08.2000
Gaston H.,26.09.1997
Seyboth Wild T.,10.03.2000
Kecmanovic M.,31.08.2000
Vatutin A.,10.03.1992
Martinez P.,28.02.1993
Catarina L.,20.05.1994
Hurkacz H.,11.02.1997
Piros Z.,15.08.1999
Baldi F.,28.01.1970
Zapata Miralles B.,17.04.1997
Coria F.,09.03.1989
Hernandez-Fernandez J,22.06.1995
Horansky F.,15.01.1994
Benchetrit E.,07.07.1996
Janvier M.,03.02.1994
Otte O.,16.08.1994
Purcell M.,04.04.1998
Gunneswaran P.,24.04.1995
Clarke J.,12.03.1998
Kolar Z.,27.08.1996
Roca Batalla O.,12.03.1994
Huesler M.A.,17.01.1996
Reinberg E.,18.01.1996
Rodionov J.,16.09.1999
Garanganga T.,12.04.1990
Watanuki Y.,21.09.1997
Arevalo M.,17.03.1995
Gojo B.,30.01.2000
Humbert U.,26.06.1998
Altamirano C.,15.12.1999
Brooksby J.,30.04.2001
Tseng C.H.,28.08.1991
Karlovskiy E.,20.05.1999
Hoang A.,03.03.1995
Dellien H.,21.02.1993
Lopez Villasenor G.,09.04.1992
Sakamoto P.,12.11.1995
Davidovich Fokina A.,08.06.2000
Sinner J.,16.08.2002
Valkusz M.,23.08.1993
Basso A.,12.02.1986
Moraing M.,19.08.1995
Aragone J,23.02.1995
Celikbilek A.,25.01.1996
Kirkin E.,13.05.1995
Jubb P.,23.04.1995
Moroni G.,08.09.1992
Lenz J.,23.05.1993
Torpegaard M.,12.04.1994
Lee D.H.,23.08.1998
Monteiro J.,19.02.1992
Sarmiento R.,10.02.1997
Svajda Z.,19.05.2003
Roumane R.,01.01.2000
Zhang Ze.,14.07.1996
Dubrivnyy A.,14.05.1995
Mager G.,14.11.1991
Avidzba A.,19.05.1995
Kachmazov A.,23.07.1998
Berrettini M.,08.10.1996
Thiem D.,03.09.1993
Medvedev D.,11.02.1996
Tsitsipas S.,12.08.1998
Nadal R.,03.06.1986
Zverev A.,20.04.1997
Harris A.,27.09.1997
Vilella Martinez M.,20.04.1994
Tabilo A.,10.05.1997
Ficovich J.P.,10.07.1997
Ruusuvuori E.,02.04.1999
Couacaud E.,18.09.1995
Mukund S.,06.03.1994
Diaz Acosta F.,12.03.2002
Cerundolo F.,13.08.2000
Petrovic D.,04.03.1995
Nakashima B.,17.08.2001
Mayot H.,07.02.2003
Alcaraz C.,05.05.2003
Meligeni Rodrigues F,03.12.1993
Musetti L.,03.03.2002
Barrios Vera M.T.,22.07.1994
Varillas J.P.,11.12.1995
Phau B.,10.02.1980
Okun N.,21.05.1985
Evans B.,23.12.1990
Falla A.,26.09.1985
Schalken S.,08.09.1976
Ram R.,19.07.1987
Karlovic I.,28.02.1979
Costa A.,30.01.1984
Blanco G.,24.01.1995
Greul S.,21.09.1984
Berlocq C.,10.02.1983
Burgsmuller L.,29.02.1976
Vicente F.,17.08.1983
Kuerten G.,10.09.1976
Rochus O.,07.06.1981
Puerta M.,26.11.1978
Tipsarevic J.,22.06.1984
van Gemerden M.,21.09.1981
Baghdatis M.,15.06.1985
de Chaunac S.,28.10.1983
Saretta F.,13.10.1975
Roddick A.,30.08.1982
Srichaphan P.,26.03.1980
Mirnyi M.,06.07.1976
Lee H.T.,17.04.1983
Hrbaty D.,22.01.1976
Fish M.,10.12.1981
Kiefer N.,22.01.1978
Malisse X.,19.07.1980
Carlsen K.,11.02.1980
Melzer J.,22.05.1982
Davydenko N.,02.03.1981
Pavel A.,27.03.1979
Mathieu P.H.,12.01.1983
Beck K.,07.10.1980
Cakl T.,11.07.1984
Luczak P.,28.02.1986
Marach O.,25.10.1980
Chela J.I.,30.08.1979
Grosjean S.,07.10.1975
Ancic M.,30.03.1984
Portas A.,28.05.1977
Cilic M.,28.09.1988
Bozoljac I.,05.02.1985
Coria G.,11.12.1981
Krajan Z.,11.08.1977
Tuksar S.,21.09.1982
Labadze I.,17.10.1984
Schukin Y.,20.01.1983
Koellerer D.,30.04.1983
Mamiit C.,03.01.1975
Hadad A.,22.09.1987
Fleishman Z.,19.12.1982
Muller G.,08.03.1981
Mantilla F.,07.02.1976
Mackin A.,12.02.1984
Ionita V.,07.07.1982
Djokovic N.,22.05.1987
Arthurs W.,10.10.1971
Haas T.,03.04.1978
Agassi A.,29.04.1970
Lisnard J.R.,16.01.1978
Wolf J.J.,09.07.1998
Cressy M.,08.10.1997
Blanch U.,20.02.1997
O Connell C.,04.11.1994
Machac T.,12.10.2000
Rinderknech A.,14.05.1995
Galan D.,17.01.1996
Zeppieri G.,07.03.2001
Kotov P.,12.07.2000
Pellegrino A.,20.10.1995
Nardi L.,09.12.2000
Bergs Z.,23.05.1997
Popko D.,22.07.1996
Skatov T.,20.09.1999
Sachko V.,01.11.1999
Forejtek J.,13.06.2002
Zuk K.,06.10.1998
Nam J.S.,19.06.1991
Grenier H.,07.08.1991
Molcan A.,14.03.1994
Vrbensky M.,21.05.1994
Etcheverry T.,23.12.1995
Aragone J.C.,23.02.1995
Bourchier H.,24.10.1997
Sweeny D.,05.05.1999
Fancutt T.,25.01.1996
Van De Zandschulp B.,04.10.1995
Schoolkate T.,10.05.2000
Ferreira Silva F.,20.05.1994
Cerundolo J.M.,13.08.2000
Mochizuki S.,06.03.2000
Menezes J.,30.09.1993
Barrios M.,22.07.1994
Tirante T.A.,05.03.1994
Klein L.,18.08.1992
Rune H.,29.04.2003
Tsitsipas P.,03.10.1992
Varillas J. P.,11.12.1995
Baez S.,28.12.2000
Nava E.,11.09.1997
Borges N.,12.05.1998
Cazaux A.,22.10.2001
Stricker D.,02.04.2001
Topo M.,02.08.1999
Cobolli F.,06.07.2002
Medjedovic H.,01.05.2004
Brancaccio R.,15.09.1994
Draper J.,22.12.2003
Gray A.,13.06.1992
Kopriva V.,04.09.1999
Riedi L.,24.11.2000
Collarini A.,18.11.1992
Ajdukovic D.,07.04.2001
Mejia N.,22.08.1992
Neumayer L.,15.12.1987
Erler A.,23.08.1994
Bryde T.,11.02.1999
Wu T.L.,06.08.1995
Riffice S.,29.04.2000
Holmgren A.,07.11.2001
Tiurnev E.,26.09.1992
Oliel Y.,16.09.1998
Borg L.,22.02.2002
Vavassori A.,13.06.1995
Durasovic V.,25.10.1993
Hijikata R.,28.12.2001
Lehecka J.,26.01.2002
Moroni G.M.,08.09.1992
Shang J.,01.02.2000
Pucinelli de Almeida M.,11.11.1996
Hernandez A.,22.06.1995
Brouwer G.,22.12.1994
Alvarez Varona N.,28.07.1996
Guinard M.,18.05.1994
Rehberg M.,25.08.1999
Gimeno Valero C.,06.05.1993
Passaro F.,12.12.1999
Arnaldi M.,09.02.2001
Ugo Carabelli C.,12.02.1999
Rodriguez Taverna S.,29.10.1994
Agamenone F.,13.03.1997
Tseng C. H.,28.08.1991
De Jong J.,05.03.1996
Peniston R.,22.12.1999
Ritschard A.,11.07.1996
Blumberg W.,24.01.1998
Misolic F.,26.10.2001
Dutra Da Silva D.,04.01.1992
Casanova H.,05.09.1992
Poljicak M.,18.06.1994
Shelton B.,09.10.2002
Shevchenko A.,27.11.2002
Gakhov I.,15.03.1991
Chappell N.,04.02.1997
Villanueva G.,16.07.1993
Uchida K.,16.12.1992
Galarneau A.,03.08.1999
Pervolarakis M.,09.07.1995
Holt B.,23.09.1995
Hussey G.,14.03.1991
Searle H.,16.08.1995
Broom C.,13.10.1994
Spizzirri E.,30.07.2001
Mikrut L.,11.02.1994
Schwaerzler J.,05.09.2000
Dodig M.,09.12.1995
Kasnikowski M.,22.01.1993
Jacquet K.,08.05.1995
Forbes M.,07.09.1994
Sun F.,13.09.1988
Engel J.,17.02.1994
Collignon R.,18.06.1996
Kym J.,29.08.1992
Djuric B.,14.09.1989
Papamalamis T.,12.06.1991
Basavareddy N.,19.09.2004
Becroft I.,02.05.2005
Habib H.,24.06.1993
Onclin G.,30.04.1999
Samrej K.,21.09.1993
Boyer T.,27.03.1997
Rottgering M.,26.04.1996
Svajda T.,19.05.2003
Trotter J.K.,21.12.1998
McDonald M.,16.04.1995
Gea A.,14.06.1989
Herbert P.,18.03.1991
Buse I.,20.09.1999
Smith C.,15.10.1990
Cina F.,15.11.2000
Sakamoto R.,12.11.1995
Jianu F.C.,28.01.1990
Baadi T.,11.05.2000
Denolly C.,19.04.1999
Dedura-Palomero D.,09.04.1992
Moller E.,29.03.2000
Gaubas V.,05.06.2003
Dedura D.,09.04.1992
Sell K.,08.06.1993
Royer V.,23.03.1999
Gomez F.A.,13.09.2000
Tabur C.,29.12.1997
Pinnington Jones J.,21.10.1999
Tarvet O.,27.10.2002
Crawford O.,18.11.1994
Rodesch C.,17.05.2001
McCabe J.,21.02.1992
Monday J.,21.09.1999
Rejchtman Vinciguerra W.,17.11.1981
Budkov Kjaer N.,17.05.2003
Zahraj P.,26.06.2004
Nanda G.,26.08.2004
Magadan A.,18.04.1987
Alvarez Valdes L.C.,28.07.1996
Schwaerzler J.J.,05.09.2000
Guillen Meza A.,11.10.1993
Cassone M.,14.06.1994
Arseneault N.,20.10.2001
Draxl L.,01.08.1993
Blanch Dar.,20.02.1997
Suresh D.,22.04.1995
Dostanic S.,06.08.2003
Omarkhanov A.,15.12.1995
Bailly G.,15.07.1999
A.Bertola R.,17.02.1999
Bernet H.,22.06.1993
Mpetshi Perricard G.,13.03.2003
Etcheverry T. M.,23.12.1995
Sakellaridis S.,25.09.1991
Ivanov I.,21.05.1991
Added D.,20.09.1994
Echargui M.,22.07.1999
Chadaj A.,25.10.1979
Mahut N.,21.01.1982
Smeets R.,01.10.1979
Kubot L.,08.11.1982
Fyrstenberg M.,14.08.1980
Simmonds P.,03.07.1997
Delgado J.,09.06.1981
Clement A.,17.12.1977
Clayton A.,15.04.1987
Healey N.,11.09.1982
Baker B.,24.07.1984
Heuberger I.,28.10.1981
Philippoussis M.,22.11.1976
Henman T.,06.09.1974
Bloomfield R.,13.06.1975
Bester P.,07.12.1986
Gasquet R.,18.06.1986
Nalbandian D.,01.01.1982
Niemeyer F.,08.09.1979
El Aynaoui Y.,21.04.1972
Santoro F.,23.12.1972
Johansson T.,22.06.1972
Steckley R.,25.01.1985
Federer R.,08.08.1981
Hewitt L.,24.02.1981
Safin M.,27.01.1980
Jenkins S.,08.01.1984
Gimelstob J.,02.08.1977
Ram A.,27.04.1980
Llodra M.,13.05.1980
Mathieu P.,12.01.1983
Galimberti G.,24.09.1975
Capdeville P.,29.11.1984
Weiner G.,15.02.1988
Wessels P.,15.02.1989
Crivoi V.,11.05.1986
Wang Y. Jr,12.08.1989
Gregorc L.,21.02.1992
Udomchoke D.,19.10.1981
Pless K.,19.04.1976
Zeng S.X.,01.01.1990
Karanusic R.,06.03.1985
Sun P.,13.02.1990
Matsui T.,08.07.1991
Fruttero J.P.,23.03.1982
Gremelmayr D.,21.07.1979
Do M.Q.,24.05.1989
Lu Y.H.,01.08.1986
Naso G.,04.07.1988
Chen T.,24.07.1988
Sanchez de Luna J.A.,13.03.1980
Elsner D.,06.03.1987
Fognini F.,24.05.1987
Daniel M.,27.01.1996
Amritraj P.,22.10.1983
Soeda G.,05.09.1984
Ascione T.,03.01.1985
Taiño E.,05.12.1989
Iwami T.,01.01.1992
Ittogi T.,21.01.1991
Terachi T.,14.10.1989
Motomura G.,03.09.1990
Suzuki T.,29.09.1983
Kirillov E.,13.02.1989
Eitzinger R.,03.12.1978
Peya A.,27.05.1980
Bohli S.,29.07.1989
Ledovskikh M.,14.06.1990
Gabashvili T.,23.05.1985
Eleskovic E.,04.06.1984
Enqvist T.,30.04.1984
Kunitsyn I.,22.08.1981
Davletshin V.,25.03.1985
Berrer M.,01.07.1983
Gicquel M.,23.07.1981
Stakhovsky S.,04.01.1986
Gucione C.,19.10.1984
Uppal V.,10.06.1983
Pashanski B.,17.09.1980
Lorenzi P.,12.12.1981
Junaid R.,29.10.1985
Navarro-Pastor I.,26.03.1983
Delgado R.,08.11.1974
Bopanna R.,04.03.1980
King-Turner D.,13.05.1984
Nielsen M.,22.04.1980
Luzzi F.,09.01.1978
Rehnquist B.,10.04.1984
Kimmich M.,15.04.1983
Faurel J.C.,12.02.1983
Istomin D.,19.09.1986
Levy H.,13.07.1983
Adaktusson J.,28.09.1987
Snobel P.,05.12.1981
Gimeno-Traver D.,22.04.1985
Cuadrado C.,25.11.1988
Marcaccio G.,25.05.1990
Del Potro J.M.,23.09.1988
Parada F.,15.09.1991
Aguilar J.,02.05.1987
Hormazabal G.,21.10.1990
Widom T.,04.04.1983
Wang Y.,12.08.1989
Garcia A.,08.10.1986
Salzenstein J.,16.03.1981
Kendrick R.,27.09.1980
Patience O.,29.03.1984
Mazarakis V.,23.04.1984
Querry S.,07.10.1987
Prodon E.,19.06.1982
Vassallo-Arguello M.,24.03.1982
Korolev E.,04.02.1981
Sidorenko A.,22.05.1979
Rettenmaier T.,29.03.1984
Warburg S.,26.12.1985
Ghem A.,22.07.1994
Parmar A.,01.08.1994
Van der Dium A.,16.03.1994
Sa A.,05.09.1993
Meffert D.,14.02.1986
de Voest R.,24.02.1986
Klec I.,19.08.1988
Gallardo Valles M.,12.01.1992
van Lottum J.,02.05.1993
Vahaly B.,05.12.1993
Gonzalez S.,23.07.1989
Al Ghareeb M.,11.06.1992
Kuznetsov A.,08.04.1992
Burniol G.,07.11.1982
Witten J.,21.08.1983
Balleret B.,03.03.1984
Galvani S.,13.04.1997
Granollers-Pujol M.,11.04.1986
El Aarej M.,10.02.1978
